,tweet_id,majority_vote
0,1501140412630814727,1.0
3,1496911493929050119,0.0
4,1502408036350058501,1.0
5,1499713163658473477,0.0
6,1497980730844098565,1.0
7,1504572390004637702,1.0
8,1504157695988875264,1.0
9,1506765779139715075,1.0
10,1489385405585764354,1.0
11,1498433585208045568,1.0
12,1505861911287631886,1.0
13,1494334024143175682,1.0
15,1508432512296624134,0.0
16,1507100874824470543,1.0
19,1504417154564825092,1.0
20,1496517198659129348,2.0
21,1506478013394866183,1.0
22,1502218360561491968,1.0
23,1506488090868781061,1.0
24,1509481502169567232,1.0
25,1490742322715406339,1.0
29,1506373658297704450,1.0
30,1496507090206089227,1.0
31,1488987834694447109,1.0
33,1501616514373402632,1.0
34,1495423027105996801,0.0
36,1508828689617891334,1.0
37,1503829490333540358,0.0
38,1498697579411951617,1.0
39,1491472744948641793,1.0
40,1508231332954050574,2.0
41,1507422156120023046,1.0
42,1501843177728262148,1.0
43,1497998790309072899,1.0
44,1503062241226145798,1.0
45,1497639640517517315,0.0
46,1489363826155917312,1.0
47,1493139483168022528,1.0
48,1506573681010556930,0.0
49,1507759729417891850,1.0
50,1498575065155350528,1.0
51,1491803492385624082,0.0
52,1507309013674909701,1.0
53,1493695550033694724,1.0
54,1504720394053378054,1.0
55,1504729743513509916,1.0
56,1503817124657213443,1.0
57,1494745575002095620,0.0
58,1491533650894200837,0.0
59,1505230257498038272,1.0
60,1494441645844090883,1.0
61,1504796235152117763,0.0
62,1506336420394422278,1.0
63,1488769098339266564,1.0
64,1504555466013265920,1.0
65,1506761179754020867,1.0
66,1509595248049205248,1.0
68,1496135203185737731,1.0
69,1501828109313744900,1.0
74,1497541423998066690,1.0
75,1508379505378922502,1.0
77,1509168535771226116,1.0
78,1493216152792748035,0.0
80,1489317291581968395,1.0
81,1505193837328805889,0.0
82,1497608387852447752,1.0
83,1508803886357831694,1.0
84,1494393718270574594,0.0
86,1496781183325200386,1.0
88,1503790188656578561,0.0
89,1495670434288869379,1.0
90,1493259407886589953,1.0
91,1503505346987536386,0.0
93,1495847983677685766,0.0
94,1504389901286002695,1.0
95,1504781782746546177,2.0
96,1503068621354024963,1.0
99,1493295261002645512,0.0
100,1500512635317538822,1.0
101,1497444595185111041,1.0
102,1509547908185702406,0.0
104,1508822925541093380,1.0
105,1506917155517915137,0.0
107,1490042517835980800,1.0
108,1508047455430004738,1.0
109,1508479725769011201,1.0
110,1504846658533793797,1.0
111,1505321154441003008,1.0
112,1498595502891442184,0.0
113,1509606076706177030,2.0
114,1504461052490260487,2.0
115,1497612087975100418,1.0
116,1504380227849445378,1.0
118,1500951891236302852,1.0
119,1496525582439440384,1.0
122,1509424546625081346,0.0
123,1503378634458992651,1.0
124,1501883937504833536,1.0
125,1496949404774895619,1.0
126,1508133592655925260,1.0
127,1494372873183678469,0.0
128,1509027526542254084,0.0
129,1503861299398295552,0.0
130,1489746122197319683,1.0
136,1506600111660580870,1.0
137,1508427317642772490,0.0
138,1509297200324657159,0.0
139,1504738213671411713,1.0
140,1491364381976051718,1.0
141,1494624722717454337,1.0
142,1490729281428852742,1.0
143,1498007184457805833,2.0
144,1507039643388334088,0.0
145,1495374203096379392,0.0
146,1492924467487596556,1.0
147,1506025998839648257,1.0
148,1499701419397599239,1.0
149,1489551097551278083,1.0
150,1505486764370182144,1.0
152,1491186409772060674,0.0
153,1508864601370341381,1.0
154,1497986916213354501,0.0
155,1499435001045204993,0.0
156,1489750987980083209,1.0
157,1496606603478458369,1.0
158,1494931301874417667,0.0
159,1489923364152094720,1.0
160,1501283692953714691,1.0
161,1505702968192081922,1.0
162,1492419936744099840,1.0
163,1506581756350193671,0.0
164,1501935311110107145,0.0
165,1496874548490534914,1.0
167,1499773573015216138,1.0
168,1491051958861713413,1.0
169,1491505884375228418,1.0
170,1496553696271941635,0.0
171,1504054123666280454,1.0
172,1504775722598084628,0.0
173,1498271556165849091,0.0
174,1506754044894797825,1.0
175,1505210288571830274,1.0
176,1496235881312755716,1.0
177,1502334453405913088,1.0
178,1505664352791236608,1.0
179,1504048208246411268,1.0
